X;Y;Attack1;Attack2;Ability;Protect;EnemyX;EnemyY;next_move;DistanceDifference
-1.79271;-3.801792;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.22771
-1.82271;-3.733564;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.25771
-1.85271;-3.66926;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.28771
-1.85271;-3.60888;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.28771
-1.82271;-3.552424;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.25771
-1.79271;-3.499892;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.22771
-1.76271;-3.451284;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.19771
-1.73271;-3.4066;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.16771
-1.70271;-3.36584;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.1377099999999998
-1.67271;-3.329004;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.10771
-1.64271;-3.296092;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.0777099999999997
-1.61271;-3.267104;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.04771
-1.58271;-3.24204;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.01771
-1.55271;-3.2209;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.98771
-1.52271;-3.203684;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.95771
-1.49271;-3.190392;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.92771
-1.46271;-3.181024;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.89771
-1.43271;-3.17558;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.86771
-1.40271;-3.17406;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.83771
-1.40271;-3.182792;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.83771
-1.40271;-3.20722;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.83771
-1.40271;-3.247344;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.83771
-1.40271;-3.303164;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.83771
-1.40271;-3.416324;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.83771
-1.40271;-3.5648;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.83771
-1.40271;-3.748592;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.83771
-1.49271;-3.9677;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.92771
-1.49271;-3.954652;0;0;0.0;0.0;0.435;-3.945924;GoLeft;1.92771
-1.597014;-3.951915;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.0320139999999998
-1.701318;-3.950794;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.136318
-1.781901;-3.950415;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.216901
-1.837192;-3.950272;0;0;0.0;0.0;0.435;-3.945924;GoLeft;2.272192
