X;Y;Attack1;Attack2;Kick;DualAttack;Ability;Protect;Jump;Damage;EnemyX;EnemyY;EnemyDamage;moveCode
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.9450513;-3.955151;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.9424065;-3.950102;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.9397617;-3.945138;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.9371169;-3.944097;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.9344721;-3.94698;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.9318274;-3.953787;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.9339877;-3.955491;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.936148;-3.961118;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.9383083;-3.947126;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.9404686;-3.937057;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.9426289;-3.930913;0;Punch
-1.539292;-3.945924;0;0;0;0;0;0;0;0;-0.9482863;-3.943358;0;Punch
-1.510862;-3.945924;0;0;0;0;0;0;0;0;-0.9539437;-3.959728;0;Punch
-1.482431;-3.945924;0;0;0;0;0;0;0;0;-0.959601;-3.956573;0;Punch
-1.454001;-3.945924;0;0;0;0;0;0;0;0;-0.9652584;-3.95575;0;Punch
-1.425571;-3.945924;0;0;0;0;0;0;0;0;-0.9709158;-3.955092;0;Punch
-1.39714;-3.945924;0;0;0;0;0;0;0;0;-0.9690057;-3.957281;0;Punch
-1.36871;-3.945924;0;0;0;0;0;0;0;0;-0.9670956;-3.958401;0;Punch
-1.34028;-3.945924;0;0;0;0;0;0;0;0;-0.9651855;-3.958975;0;Punch
-1.311849;-3.945924;0;0;0;0;0;0;0;0;-0.9632754;-3.959269;0;Punch
-1.283419;-3.945924;0;0;0;0;0;0;0;0;-0.9613653;-3.959419;0;Punch
-1.254989;-3.945924;0;0;0;0;0;0;0;0;-0.9707102;-3.957221;0;Punch
-1.226558;-3.945924;0;0;0;0;0;0;0;0;-0.980055;-3.957677;0;Punch
-1.198128;-3.945924;0;0;0;0;0;0;0;0;-0.9893998;-3.956329;0;Punch
-1.169698;-3.945924;0;0;0;0;0;0;0;0;-0.9893998;-3.955016;0;Punch
-1.169698;-3.945924;0;0;1;0;0;0;0;0;-0.9893998;-3.955016;0;Jump
-1.141267;-3.945924;0;0;1;0;0;0;0;0;-0.9893998;-3.953966;0;Jump
-1.112837;-3.945924;0;0;1;0;0;0;0;0;-0.988391;-3.880906;0;Jump
-1.104358;-3.943848;0;0;1;0;0;0;0;0;-0.9658611;-3.817769;0;Jump
-1.074358;-3.945696;0;0;1;0;0;0;0;0;-0.9498524;-3.758557;0;Jump
-1.050288;-3.945696;0;0;1;0;0;0;0;0;-0.9297303;-3.704508;0;Jump
-1.021858;-3.945696;0;0;1;0;0;0;0;0;-0.9096082;-3.654383;0;Jump
-0.9934273;-3.945696;0;0;1;0;0;0;0;0;-0.8908175;-3.602456;0;Jump
-0.9689321;-3.945696;0;0;1;0;0;0;0;0;-0.867391;-3.556216;0;Jump
-0.9405017;-3.945696;0;0;1;0;0;0;0;0;-0.8439646;-3.5139;0;Jump
-0.9120713;-3.945696;0;0;1;0;0;0;0;0;-0.8205381;-3.475508;0;Jump
-0.8836409;-3.945696;0;0;1;0;0;0;0;0;-0.7971116;-3.44104;0;Jump
-0.8552105;-3.945696;0;0;1;0;0;0;0;0;-0.7770728;-3.400949;0;Jump
-0.8267801;-3.945696;0;0;1;0;0;0;0;0;-0.7570341;-3.364782;0;Jump
-0.7983497;-3.945696;0;0;1;0;0;0;0;0;-0.7369953;-3.332539;0;Jump
-0.7699193;-3.945696;0;0;1;0;0;0;0;0;-0.7169565;-3.304219;0;Jump
-0.7414889;-3.945696;0;0;1;0;0;0;0;0;-0.6969177;-3.279824;0;Jump
-0.7130585;-3.945696;0;0;1;0;0;0;0;0;-0.6586814;-3.267647;0;Jump
-0.7130585;-3.945696;0;0;0;0;0;0;0;0;-0.6586814;-3.267647;0;Jump
-0.6846281;-3.945696;0;0;0;0;0;0;0;0;-0.6204451;-3.259393;0;Jump
