X;Y;Attack1;Attack2;Kick;DualAttack;Ability;Protect;Jump;Damage;EnemyX;EnemyY;EnemyDamage;moveCode
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2894663;-3,734367;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2894663;-3,734367;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,2894663;-3,734367;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3024044;-3,732687;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3024044;-3,732687;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3153424;-3,734932;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3153424;-3,734932;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3153424;-3,734932;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3282805;-3,741101;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3324198;-3,736067;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3365592;-3,731005;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3406986;-3,729868;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3448379;-3,732655;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3448379;-3,732655;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3448379;-3,732655;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3448379;-3,732655;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3489773;-3,739365;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3489773;-3,739365;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3489773;-3,739365;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3489773;-3,739365;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3595867;-3,750558;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3595867;-3,750558;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3595867;-3,750558;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3726993;-3,761718;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3726993;-3,761718;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3726993;-3,761718;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3726993;-3,761718;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3879071;-3,777124;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,3879071;-3,777124;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,399828;-3,798966;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,399828;-3,798966;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,4109571;-3,824845;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,4109571;-3,824845;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,4176256;-3,848081;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,4176256;-3,848081;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,4176256;-3,848081;0;Jump
-1,454;-3,945924;0;0;0;0;0;0;0;0;-0,4242941;-3,875242;0;Jump
